CustomerID,CustomerName,Transactions,LineItems,TotalSpend,AverageBasketValue
CUST1134,Sandip Khadka,12,34,69397.2,5783.099999999999
CUST1143,Kritika Shrestha,9,24,66866.15,7429.572222222223
CUST1122,Prakash Shrestha,14,42,66817.6,4772.685714285714
CUST1124,Anita Rai,8,28,66304.12,8288.015
CUST1148,Sarita Basnet,11,31,63944.87,5813.17
CUST1076,Bikash Shrestha,12,38,62951.12,5245.926666666667
CUST1001,Deepak Lama,10,31,57773.57,5777.357
CUST1018,Puja Khadka,12,30,53432.76,4452.7300000000005
CUST1132,Sabina Thapa,14,40,52757.67,3768.4049999999997
CUST1103,Rohit Thapa,13,37,52391.79,4030.1376923076923
CUST1037,Kritika Gurung,12,30,50497.32,4208.11
CUST1029,Sandip Basnet,7,16,49822.21,7117.458571428571
CUST1006,Alina Rai,10,26,46895.14,4689.514
CUST1082,Aashish Tamang,12,40,46736.69,3894.724166666667
CUST1147,Rohit Khadka,4,13,46046.18,11511.545
CUST1074,Bikash Rai,12,37,45423.06,3785.2549999999997
CUST1064,Sandip Khadka,8,29,45396.47,5674.55875
CUST1075,Deepak Magar,10,31,45389.68,4538.968
CUST1125,Neha Basnet,7,23,44944.7,6420.671428571428
CUST1021,Rajesh Khadka,14,36,44853.49,3203.820714285714
CUST1030,Kiran Maharjan,12,33,44436.670000000006,3703.0558333333333
CUST1047,Rita Adhikari,12,32,44339.18,3694.931666666667
CUST1099,Rohit Magar,7,19,43536.91,6219.558571428572
CUST1113,Nabin Basnet,11,35,42110.89,3828.2627272727273
CUST1072,Kritika Thapa,10,24,39139.04,3913.904
CUST1109,Deepak Lama,10,28,36258.06,3625.8059999999996
CUST1089,Sunita Bhattarai,9,21,36078.1,4008.6777777777775
CUST1079,Rohit Lama,9,23,35288.84,3920.982222222222
CUST1026,Rohit Maharjan,6,21,34790.29,5798.381666666667
CUST1116,Bikash Shrestha,7,18,34133.55,4876.221428571429
CUST1033,Rohit Khadka,7,24,34118.81,4874.115714285714
CUST1117,Prakash Shrestha,7,18,33944.2,4849.171428571429
CUST1084,Sabnam Bhattarai,6,20,33390.3,5565.05
CUST1104,Kritika Lama,4,15,33172.91,8293.2275
CUST1133,Milan Shrestha,4,13,31615.66,7903.915000000001
CUST1129,Nabin Thapa,5,20,26600.53,5320.106000000001
CUST1144,Milan Khadka,5,12,23649.0,4729.8
CUST1086,Prakash Adhikari,4,13,17181.56,4295.39
CUST1146,Puja Tamang,3,9,14166.439999999999,4722.1466666666665
CUST1092,Anita Basnet,4,13,14020.33,3505.0825000000004
CUST1126,Sabina Adhikari,4,11,12202.02,3050.505
CUST1090,Rohit Lama,3,10,11844.07,3948.023333333333
CUST1051,Alina Basnet,3,6,10675.96,3558.653333333333
CUST1062,Prakash Basnet,4,9,7963.610000000001,1990.9025000000001
CUST1094,Kiran Thapa,1,3,5419.38,5419.38
CUST1027,Sunita Poudel,1,5,3653.7200000000003,3653.7200000000003
CUST1141,Sujan Karki,1,3,3365.5,3365.5
